A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	A13	A14	class
1	27.58	2.04	1	6	4	2.0	1	1	3.0	1	2	370.0	561.0	1
1	47.33	6.5	2	8	4	1.0	0	0	0.0	1	2	0.0	229.0	0
0	68.67	15.0	2	10	9	0.0	1	1	14.0	0	2	0.0	3377.0	1
1	22.67	0.75	2	3	4	1.585	0	1	1.0	1	2	400.0	10.0	0
1	69.17	9.0	2	1	1	4.0	0	1	1.0	0	2	70.0	7.0	0
1	28.58	3.625	2	6	4	0.25	0	0	0.0	1	2	100.0	1.0	0
0	23.58	11.5	1	4	8	3.0	0	0	0.0	1	2	20.0	17.0	0
1	28.92	15.0	2	8	8	5.335	1	1	11.0	0	2	0.0	2284.0	1
1	31.42	15.5	2	8	4	0.5	1	0	0.0	0	2	120.0	1.0	0
1	17.25	3.0	2	4	4	0.04	0	0	0.0	1	2	160.0	41.0	0
1	31.58	0.75	1	6	4	3.5	0	0	0.0	1	2	320.0	1.0	0
0	47.25	0.75	2	11	8	2.75	1	1	1.0	0	2	333.0	893.0	1
1	39.25	9.5	2	7	4	6.5	1	1	14.0	0	2	240.0	4608.0	1
0	22.5	8.46	1	14	4	2.46	0	0	0.0	0	2	164.0	1.0	1
1	34.0	4.5	2	6	4	1.0	1	0	0.0	1	2	240.0	1.0	0
1	26.25	1.54	2	9	4	0.125	0	0	0.0	0	2	100.0	1.0	0
1	62.75	7.0	2	10	9	0.0	0	0	0.0	0	2	0.0	13.0	0
0	25.58	0.0	2	8	4	0.0	0	0	0.0	0	3	184.0	1.0	1
1	31.92	4.46	2	13	8	6.04	1	1	3.0	0	2	311.0	301.0	1
0	15.92	2.875	2	11	4	0.085	0	0	0.0	0	2	120.0	1.0	0
1	39.92	0.54	1	6	4	0.5	1	1	3.0	0	2	200.0	1001.0	1
1	44.0	2.0	2	7	4	1.75	1	1	2.0	1	2	0.0	16.0	1
1	54.42	0.5	1	4	8	3.96	1	0	0.0	0	2	180.0	315.0	1
0	23.5	1.5	2	9	4	0.875	0	0	0.0	1	2	160.0	1.0	0
1	29.58	4.5	2	9	4	7.5	1	1	2.0	1	2	330.0	1.0	1
0	19.17	0.585	1	6	4	0.585	1	0	0.0	1	2	160.0	1.0	0
1	52.42	1.5	2	2	4	3.75	0	0	0.0	1	2	0.0	351.0	0
0	20.08	0.125	2	11	4	1.0	0	1	1.0	0	2	240.0	769.0	1
1	22.92	3.165	1	8	4	0.165	0	0	0.0	0	2	160.0	1059.0	0
1	21.92	0.5	2	8	4	0.125	0	0	0.0	0	2	360.0	1.0	0
1	37.5	0.835	2	10	4	0.04	0	0	0.0	0	2	120.0	6.0	0
1	17.08	3.29	2	3	4	0.335	0	0	0.0	1	2	140.0	3.0	0
1	31.83	0.04	1	7	4	0.04	0	0	0.0	0	2	0.0	1.0	0
1	30.17	1.085	1	8	4	0.04	0	0	0.0	0	2	170.0	180.0	0
1	39.5	4.25	2	8	5	6.5	1	1	16.0	0	2	117.0	1211.0	1
1	23.58	1.79	2	8	4	0.54	0	0	0.0	1	2	136.0	2.0	0
0	18.92	9.0	2	6	4	0.75	1	1	2.0	0	2	88.0	592.0	1
1	60.08	14.5	2	1	1	18.0	1	1	15.0	1	2	0.0	1001.0	1
1	36.75	0.125	1	8	4	1.5	0	0	0.0	1	2	232.0	114.0	1
1	26.67	1.75	1	8	4	1.0	1	1	5.0	1	2	160.0	5778.0	1
0	21.75	1.75	1	5	3	0.0	0	0	0.0	0	2	160.0	1.0	0
0	32.33	0.54	2	13	4	0.04	1	0	0.0	0	2	440.0	11178.0	1
1	27.25	0.625	2	6	4	0.455	1	0	0.0	1	2	200.0	1.0	0
1	37.33	2.665	2	13	4	0.165	0	0	0.0	1	2	0.0	502.0	0
1	32.25	14.0	1	1	1	0.0	0	1	2.0	0	2	160.0	2.0	0
0	18.75	7.5	2	11	4	2.71	1	1	5.0	0	2	184.0	26727.0	1
0	49.0	1.5	2	5	3	0.0	1	0	0.0	1	2	100.0	28.0	0
1	48.17	7.625	2	9	8	15.5	1	1	12.0	0	2	0.0	791.0	1
1	32.25	0.165	1	8	8	3.25	1	1	1.0	1	2	432.0	8001.0	1
1	42.75	3.0	2	3	5	1.0	1	0	0.0	0	2	0.0	201.0	0
1	35.25	3.165	2	14	8	3.75	1	0	0.0	1	2	680.0	1.0	0
0	18.58	10.0	2	2	4	0.415	0	0	0.0	0	2	80.0	43.0	0
0	16.92	0.5	2	3	4	0.165	0	1	6.0	1	2	240.0	36.0	0
1	38.17	10.125	2	14	4	2.5	1	1	6.0	0	2	520.0	197.0	1
0	20.42	0.835	2	11	4	1.585	1	1	1.0	0	2	0.0	1.0	1
1	20.0	7.0	2	8	4	0.5	0	0	0.0	0	2	0.0	1.0	0
1	32.33	2.5	2	8	4	1.25	0	0	0.0	1	2	280.0	1.0	0
1	29.67	1.415	2	9	8	0.75	1	1	1.0	0	2	240.0	101.0	1
1	25.25	1.0	2	6	4	0.5	0	0	0.0	0	2	200.0	1.0	0
1	22.33	11.0	2	9	4	2.0	1	1	1.0	0	2	80.0	279.0	1
1	38.92	1.75	2	4	4	0.5	0	0	0.0	1	2	300.0	3.0	0
0	37.75	5.5	2	11	4	0.125	1	0	0.0	1	2	228.0	1.0	1
1	41.58	1.75	2	4	4	0.21	1	0	0.0	0	2	160.0	1.0	0
1	26.92	2.25	2	3	5	0.5	0	0	0.0	1	2	640.0	4001.0	0
1	34.17	1.54	2	13	4	1.54	1	1	1.0	1	2	520.0	50001.0	1
1	28.33	5.0	2	9	4	11.0	1	0	0.0	1	2	70.0	1.0	1
