A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	A13	A14	A15	A16	A17	A18	A19	A20	class
849.0	2177.0	598.0	1689.0	3114.0	-3406.0	3799.0	-2642.0	1578.0	-181.0	-212.0	1633.0	4664.0	1081.0	-1172.0	-166.0	578.0	1664.0	309.0	-3028.0	0
947.0	543.0	782.0	-449.0	-8.0	1316.0	756.0	-61.0	1604.0	1686.0	264.0	-382.0	1259.0	608.0	-2292.0	1008.0	2687.0	-1422.0	-606.0	2374.0	1
759.0	-314.0	898.0	-1743.0	2003.0	1117.0	911.0	136.0	-489.0	-144.0	982.0	112.0	598.0	474.0	2026.0	1431.0	-336.0	79.0	1123.0	302.0	1
531.0	1374.0	517.0	1226.0	1122.0	-4.0	-1227.0	2277.0	1083.0	888.0	-111.0	1063.0	2454.0	587.0	-744.0	1216.0	916.0	-476.0	6.0	-477.0	1
-1443.0	1065.0	2071.0	207.0	-865.0	-786.0	2655.0	-366.0	971.0	-341.0	221.0	4195.0	-117.0	-2694.0	14.0	4097.0	1356.0	-944.0	-602.0	2348.0	0
-258.0	-4696.0	-519.0	6469.0	-1878.0	-557.0	-62.0	5572.0	-62.0	1813.0	499.0	1299.0	-1926.0	61.0	-2941.0	-1953.0	-1007.0	-1042.0	1835.0	-1196.0	0
-636.0	-222.0	-3034.0	688.0	1388.0	-559.0	412.0	1163.0	1887.0	4408.0	-3277.0	1538.0	222.0	-993.0	412.0	114.0	314.0	1566.0	-517.0	-938.0	0
1144.0	346.0	77.0	112.0	146.0	1337.0	174.0	23.0	1299.0	-6.0	-801.0	-32.0	398.0	-434.0	1956.0	109.0	-242.0	1629.0	-81.0	-572.0	1
1839.0	3036.0	-11.0	394.0	188.0	-503.0	762.0	-682.0	2188.0	693.0	1115.0	1662.0	619.0	951.0	1568.0	76.0	638.0	51.0	41.0	837.0	1
-656.0	-1706.0	4477.0	-293.0	-432.0	1934.0	2013.0	672.0	1193.0	-277.0	2025.0	1305.0	-2008.0	179.0	-1327.0	1452.0	-1402.0	-2894.0	-151.0	126.0	0
-984.0	792.0	831.0	21.0	1531.0	1739.0	2641.0	105.0	554.0	-236.0	-651.0	605.0	2459.0	-1611.0	1964.0	-201.0	-1229.0	-826.0	-1822.0	1662.0	1
-593.0	878.0	-1045.0	843.0	-1907.0	-1038.0	861.0	-1764.0	487.0	2143.0	481.0	952.0	939.0	782.0	1219.0	-475.0	1146.0	221.0	-462.0	-112.0	1
1225.0	2547.0	-1182.0	4016.0	-521.0	-2396.0	-498.0	-2936.0	-1105.0	6.0	-1953.0	-3867.0	1372.0	-1267.0	403.0	-296.0	-972.0	114.0	2326.0	1723.0	0
345.0	-35.0	-3081.0	2445.0	-1016.0	671.0	-12.0	471.0	143.0	594.0	-1295.0	2375.0	-1081.0	195.0	244.0	-123.0	-1711.0	-576.0	2607.0	3568.0	0
697.0	1029.0	-459.0	-3736.0	-2565.0	3389.0	-892.0	-1674.0	-1966.0	-482.0	-727.0	-512.0	-331.0	717.0	1628.0	155.0	-531.0	-1083.0	124.0	-1507.0	0
-942.0	259.0	-182.0	5.0	158.0	-84.0	1068.0	1139.0	474.0	57.0	414.0	175.0	1896.0	2669.0	1139.0	5.0	252.0	1222.0	1036.0	-946.0	1
1007.0	242.0	1601.0	1689.0	-373.0	-1713.0	2086.0	74.0	965.0	2.0	-381.0	-51.0	-734.0	-1066.0	-1293.0	692.0	1072.0	-815.0	-6.0	274.0	1
366.0	3128.0	-4531.0	-1283.0	3117.0	-35.0	1211.0	-7.0	859.0	-1906.0	-66.0	-252.0	1683.0	1777.0	-2568.0	-2011.0	1384.0	-619.0	4193.0	-2332.0	0
261.0	1758.0	-177.0	-146.0	-57.0	-763.0	1715.0	1369.0	461.0	2187.0	446.0	-76.0	112.0	1285.0	-205.0	1383.0	-124.0	-1022.0	2562.0	-319.0	1
