parameters	r2_cv_mean	explained_variance_cv_mean	neg_mean_squared_error_cv_mean	neg_mean_absolute_error_cv_mean	time	seed	dataset	algorithm	_id
{'alpha': 0.9, 'criterion': 'friedman_mse', 'init': None, 'learning_rate': 1, 'loss': 'ls', 'max_depth': 3, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 5, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'presort': 'auto', 'random_state': 24800, 'subsample': 1, 'verbose': 0, 'warm_start': False}	0.1992009361802493	0.23368152052158514	-0.7399201059000751	-0.6496514345462184	0.033953523635864256	24800	658_fri_c3_250_25	GradientBoostingRegressor	68203b2f4c735c5c6c510719a2b02ce0d8138457cccc8015d0479c297906bbdf
{'C': 0.0001, 'cache_size': 700, 'coef0': 10, 'degree': 2, 'epsilon': 0.1, 'gamma': 0.1, 'kernel': 'rbf', 'max_iter': 10000, 'shrinking': True, 'tol': 0.01, 'verbose': False}	-0.2871841075837208	7.206677874449507e-06	-9544.785895105535	-70.89032992668359	0.0009400367736816408	24800	706_sleuth_case1202	SVR	9f587c3497db3e74321d0bbc9cbf051af08552f665262f736665f338809582ee
{'criterion': 'mse', 'max_depth': 5, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 10, 'min_samples_split': 10, 'min_weight_fraction_leaf': 0.3, 'presort': False, 'random_state': 24800, 'splitter': 'best'}	0.10941330863886542	0.1255369211644101	-0.873978489465834	-0.7157552225552044	0.0013549327850341795	24800	623_fri_c4_1000_10	DecisionTreeRegressor	c4991f7f7db210de7f3439643c94f0e4db1589478dedda01c3fea698ed6b1c96
{'C': 0.01, 'cache_size': 700, 'coef0': 0.0, 'degree': 2, 'epsilon': 0.1, 'gamma': 100, 'kernel': 'rbf', 'max_iter': 10000, 'shrinking': True, 'tol': 1e-05, 'verbose': False}	-0.07517126969691883	1.7985612998927535e-15	-20.307712846815406	-3.6415499898232495	0.003330850601196289	24800	229_pwLinear	SVR	b84b30823e3a0b65441d703d4fd1a1e45535cb2e976590a7e8379db6a187ab38
{'bootstrap': 'true', 'criterion': 'mse', 'max_depth': None, 'max_features': 'log2', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 20, 'min_weight_fraction_leaf': 0.3, 'n_estimators': 500, 'n_jobs': 1, 'oob_score': False, 'random_state': 24800, 'verbose': 0, 'warm_start': False}	0.14456533879607347	0.1762387638750023	-0.8309029746243116	-0.7323389066995526	0.6462845802307129	24800	584_fri_c4_500_25	RandomForestRegressor	970d42f3c8a47d1f1366cd026f5132f91ddfccd946b1b4bfadf368a172a59342
{'C': 0.0001, 'cache_size': 700, 'coef0': 10, 'degree': 3, 'epsilon': 0.1, 'gamma': 10, 'kernel': 'rbf', 'max_iter': 10000, 'shrinking': True, 'tol': 0.0001, 'verbose': False}	-0.028142917698424245	7.764421836253809e-07	-1.018064883016386	-0.7823356005678512	0.10746009349822998	24800	608_fri_c3_1000_10	SVR	982dc956cdcaff8bc68982ac92557867f5c46d9c9a5c86ccf91f1b1ab2f16af4
{'bootstrap': 'false', 'criterion': 'mae', 'max_depth': None, 'max_features': 'log2', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 20, 'min_samples_split': 5, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 500, 'n_jobs': 1, 'oob_score': False, 'random_state': 24800, 'verbose': 0, 'warm_start': False}	0.4300514381526767	0.4603949726756492	-10.880672100459382	-2.5818609387682008	0.7235957860946656	24800	229_pwLinear	RandomForestRegressor	b84b30823e3a0b65441d703d4fd1a1e45535cb2e976590a7e8379db6a187ab38
{'C': 0.001, 'cache_size': 700, 'coef0': 0.0001, 'degree': 3, 'epsilon': 0.1, 'gamma': 0.001, 'kernel': 'rbf', 'max_iter': 10000, 'shrinking': True, 'tol': 1e-05, 'verbose': False}	-0.12260323374162108	3.9543448992740425e-05	-1.056236177877402	-0.7713678312022348	0.0008996963500976562	24800	594_fri_c2_100_5	SVR	2743361c71230dc2b1a35f530f6285471b434da00bc9797fcf4336f70e813110
{'C': 0.001, 'cache_size': 700, 'coef0': 0.0001, 'degree': 2, 'epsilon': 0.1, 'gamma': 10, 'kernel': 'rbf', 'max_iter': 10000, 'shrinking': True, 'tol': 0.1, 'verbose': False}	-0.03833393759602429	-2.2204460492503126e-17	-1.0111503633000092	-0.8144463560867589	0.027384805679321292	24800	637_fri_c1_500_50	SVR	5b043c02cdde0d4a90b2b01ff9976b567ed4407d6a4c376a4cf2a2cc8a74a946
{'C': 0.01, 'cache_size': 700, 'coef0': 0.01, 'degree': 3, 'epsilon': 0.1, 'gamma': 0.0001, 'kernel': 'rbf', 'max_iter': 10000, 'shrinking': True, 'tol': 0.0001, 'verbose': False}	-0.035665252072240916	9.829844867979e-05	-1.0068616316828172	-0.8348494313936914	0.004126238822937012	24800	601_fri_c1_250_5	SVR	10e2b9d5a76f76ea810b8ebdb5d87639752078b669a6321ae03710fe84989e07
