% Fibonacci's sequence (represented as a symbolic regression problem)

% gpocl's best evolved program: add( X3, X2 )

% | i X0 X1 X2 Y |
1,1,1,2,3
2,1,2,3,5
3,2,3,5,8
4,3,5,8,13
5,5,8,13,21
6,8,13,21,34
7,13,21,34,55
8,21,34,55,89
9,34,55,89,144
10,55,89,144,233
11,89,144,233,377
12,144,233,377,610
13,233,377,610,987
14,377,610,987,1597
15,610,987,1597,2584
16,987,1597,2584,4181
17,1597,2584,4181,6765
18,2584,4181,6765,10946
19,4181,6765,10946,17711
20,6765,10946,17711,28657
21,10946,17711,28657,46368
22,17711,28657,46368,75025
23,28657,46368,75025,121393
24,46368,75025,121393,196418
25,75025,121393,196418,317811
26,121393,196418,317811,514229
27,196418,317811,514229,832040
28,317811,514229,832040,1346269
29,514229,832040,1346269,2178309
30,832040,1346269,2178309,3524578
31,1346269,2178309,3524578,5702887
32,2178309,3524578,5702887,9227465
33,3524578,5702887,9227465,14930352
34,5702887,9227465,14930352,24157817
35,9227465,14930352,24157817,39088169
36,14930352,24157817,39088169,63245986
37,24157817,39088169,63245986,102334155
