A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	A13	A14	A15	class
2	150	0.5	2	1	4	4	0.085	0	0	0.0	1	2	63	0.0	1
1	225	1.5	2	1	6	3	0.0	0	0	0.0	0	0	157	0.0	1
2	342	9.0	2	1	6	3	4.0	0	1	1.0	0	0	152	6.0	1
1	214	2.5	2	1	7	4	0.21	0	0	0.0	0	0	67	246.0	1
2	305	6.5	2	1	9	8	6.29	1	1	15.0	0	0	0	11202.0	0
2	16	22.0	1	2	6	7	0.0	0	0	0.0	1	1	125	100000.0	0
2	69	0.125	3	3	9	8	0.125	0	0	0.0	0	0	40	70.0	1
2	182	0.335	3	3	3	8	0.085	0	0	0.0	0	0	34	0.0	1
1	210	0.29	2	1	6	3	0.0	0	1	10.0	0	0	40	18.0	1
2	197	3.375	2	1	2	4	8.29	0	0	0.0	1	0	0	0.0	1
2	299	15.0	2	1	2	8	8.5	1	1	9.0	0	0	0	0.0	0
2	75	0.75	2	1	10	8	0.5	1	0	0.0	1	2	86	0.0	1
2	163	0.83	2	1	14	8	1.335	1	1	8.0	1	0	81	3290.0	0
1	46	0.835	2	1	11	8	1.585	1	1	1.0	0	0	0	0.0	0
2	8	0.0	3	3	1	8	0.25	0	0	0.0	0	0	147	0.0	1
2	190	4.25	2	1	7	1	3.25	1	1	2.0	0	0	71	610.0	0
1	349	1.5	2	1	6	3	0.0	0	1	2.0	1	0	40	105.0	1
2	13	3.0	2	1	9	8	0.04	0	0	0.0	1	0	23	40.0	1
1	184	0.75	2	1	9	1	1.0	1	1	3.0	1	0	48	0.0	1
1	81	9.0	2	1	11	8	8.5	1	1	5.0	1	0	8	0.0	0
1	166	3.125	2	1	6	3	3.04	0	1	2.0	1	0	40	4.0	1
2	252	1.04	2	1	13	8	5.0	1	1	6.0	1	0	136	10000.0	0
2	182	0.25	2	1	7	1	4.0	0	0	0.0	1	2	116	0.0	1
2	106	1.0	2	1	11	8	1.75	1	0	0.0	1	0	74	0.0	0
2	187	2.5	2	1	2	8	1.0	0	0	0.0	0	0	128	16.0	1
2	64	11.46	2	1	9	8	1.585	0	0	0.0	1	0	1	1212.0	1
1	321	19.5	2	1	2	8	5.5	1	1	7.0	0	0	0	3000.0	0
1	326	21.0	2	1	7	1	10.0	1	1	13.0	0	0	0	6700.0	0
2	77	11.125	2	1	14	4	0.46	1	1	1.0	0	0	1	0.0	0
1	140	0.46	2	1	9	8	0.54	1	1	4.0	0	0	103	500.0	0
2	78	4.0	2	1	2	1	0.25	1	0	0.0	1	0	23	0.0	0
2	216	1.125	3	3	4	8	1.5	0	0	0.0	1	0	119	0.0	0
1	243	2.04	3	3	11	4	0.125	1	1	23.0	1	0	127	1236.0	0
1	5	0.165	2	1	1	8	1.0	0	1	2.0	1	0	86	1.0	1
2	31	0.415	3	3	2	8	0.165	0	1	1.0	0	0	40	1.0	1
2	184	2.75	2	1	7	1	0.0	0	0	0.0	0	0	34	0.0	1
2	15	6.5	2	1	7	8	0.125	0	0	0.0	0	0	147	100.0	1
2	297	10.0	2	1	7	1	0.0	1	1	11.0	0	0	0	1249.0	0
2	113	2.71	3	3	3	8	5.25	1	1	1.0	0	0	47	0.0	0
1	323	2.0	2	1	6	3	6.5	0	1	1.0	0	0	0	10.0	1
2	319	12.25	2	1	10	8	1.25	1	1	4.0	1	0	40	0.0	0
1	91	3.0	2	1	11	4	1.835	1	1	19.0	0	0	0	500.0	0
2	211	2.0	2	1	7	8	0.25	0	0	0.0	1	0	52	0.0	1
2	322	8.5	2	1	5	4	7.0	1	1	3.0	0	0	0	0.0	0
1	220	6.0	2	1	9	8	1.0	1	0	0.0	1	0	0	0.0	0
2	73	3.0	2	1	10	8	1.29	1	1	1.0	0	0	67	800.0	0
1	239	8.125	3	3	9	8	0.165	0	1	2.0	0	0	170	18.0	1
2	46	0.0	0	0	0	0	0.0	0	0	0.0	0	1	170	0.0	1
1	26	9.25	2	1	11	8	1.21	1	1	4.0	0	0	147	540.0	0
2	39	0.375	2	1	11	8	2.0	1	1	2.0	1	0	159	0.0	0
2	139	1.25	2	1	13	8	1.75	0	0	0.0	0	0	40	0.0	1
1	248	1.04	2	1	1	8	0.665	0	0	0.0	0	0	61	237.0	1
2	122	2.04	3	3	1	8	2.0	1	1	3.0	1	0	99	560.0	0
1	52	5.0	3	3	6	3	0.0	0	0	0.0	0	0	0	0.0	1
2	44	9.96	2	1	5	2	0.0	1	0	0.0	0	0	0	0.0	0
2	174	2.335	2	1	4	4	5.75	0	0	0.0	1	0	78	0.0	1
1	85	0.5	2	1	11	4	1.25	1	1	1.0	0	0	0	678.0	0
0	128	0.585	2	1	1	8	0.04	0	0	0.0	0	0	67	1004.0	1
2	27	2.0	2	1	7	8	1.5	1	1	2.0	0	0	8	300.0	0
1	273	0.46	2	1	3	4	0.415	1	1	11.0	1	0	122	6.0	0
2	286	4.25	2	1	10	8	0.125	1	0	0.0	1	0	54	0.0	0
2	255	4.915	3	3	13	8	3.165	1	0	0.0	1	0	140	1442.0	0
2	46	7.0	2	1	2	8	1.625	1	1	3.0	0	0	40	1391.0	0
1	89	0.5	2	1	11	4	1.5	1	0	0.0	0	0	74	824.0	0
2	140	0.58	2	1	13	8	0.29	0	1	1.0	0	0	90	2803.0	1
1	131	3.5	2	1	13	8	0.835	1	0	0.0	0	2	74	0.0	0
2	161	15.5	2	1	2	8	0.5	1	0	0.0	0	0	8	0.0	1
2	46	1.835	2	1	2	8	2.25	1	1	1.0	0	0	1	150.0	0
1	152	6.5	2	1	2	1	4.0	1	1	7.0	1	0	0	3065.0	0
2	134	9.335	2	1	11	4	5.665	1	1	6.0	0	0	104	168.0	0
2	76	2.5	2	1	6	3	0.085	0	0	0.0	1	0	1	4208.0	1
2	37	0.29	2	1	9	8	0.29	0	0	0.0	0	0	74	364.0	1
2	205	5.5	2	1	7	1	5.0	0	0	0.0	0	0	46	687.0	1
2	80	0.585	2	1	2	4	0.085	1	0	0.0	0	0	34	0.0	1
2	188	2.75	2	1	7	1	2.5	0	0	0.0	1	0	58	200.0	1
1	283	1.335	2	1	7	7	0.335	0	0	0.0	0	0	0	120.0	1
2	165	0.04	3	3	10	8	0.04	0	0	0.0	0	0	0	0.0	1
