Status	Duration	Credit-history	Purpose	Credit	Savings-account	Employment	Installment-rate	Personal-status	Debtors	Residence-time	Property	Age	Installments	Housing	Existing-credits	Job	Liable-people	Telephone	Foreign	class
2	42.0	4	6	7166.0	4	3	2.0	2	2	4.0	0	29.0	1	2	1.0	1	1.0	0	1	1
2	18.0	4	6	1126.0	4	1	4.0	0	2	2.0	3	21.0	1	2	1.0	1	1.0	0	1	1
1	24.0	4	3	4351.0	4	0	1.0	0	2	4.0	0	48.0	1	1	1.0	3	1.0	0	1	1
0	12.0	4	2	1200.0	4	0	4.0	0	2	4.0	0	23.0	0	2	1.0	1	1.0	0	1	1
2	12.0	4	6	1963.0	1	3	4.0	3	2	2.0	1	31.0	1	2	2.0	0	2.0	0	1	1
2	12.0	2	6	1291.0	1	0	4.0	0	2	2.0	0	35.0	1	1	2.0	1	1.0	1	1	1
0	14.0	4	4	3973.0	1	4	1.0	3	2	4.0	2	22.0	1	0	1.0	1	1.0	1	1	1
2	18.0	2	6	1098.0	1	4	4.0	0	2	4.0	1	65.0	1	1	2.0	2	1.0	1	1	1
2	9.0	4	1	1236.0	1	1	1.0	0	2	4.0	3	23.0	1	2	1.0	1	1.0	0	1	1
2	12.0	2	2	2012.0	4	3	4.0	0	2	2.0	1	61.0	1	1	1.0	1	1.0	1	1	1
2	24.0	2	4	2463.0	2	3	4.0	2	2	3.0	0	27.0	1	1	2.0	1	1.0	0	1	1
2	24.0	2	4	2022.0	1	0	4.0	0	2	4.0	1	37.0	1	1	1.0	1	1.0	0	1	1
2	4.0	2	6	1503.0	1	3	2.0	3	2	1.0	3	42.0	1	1	2.0	3	2.0	1	1	1
1	36.0	4	6	2323.0	1	3	4.0	3	2	4.0	1	24.0	1	2	1.0	1	1.0	1	1	1
1	7.0	4	6	2576.0	1	0	2.0	3	1	2.0	3	35.0	1	1	1.0	1	1.0	1	1	1
2	24.0	2	5	6314.0	1	4	4.0	3	0	2.0	2	27.0	0	1	2.0	0	1.0	0	1	1
2	15.0	4	3	2186.0	4	3	1.0	0	2	4.0	3	33.0	0	2	1.0	3	1.0	1	1	1
2	12.0	2	0	1185.0	1	0	3.0	0	2	2.0	3	27.0	1	1	2.0	1	1.0	1	1	1
2	15.0	3	9	3594.0	1	1	1.0	0	2	2.0	0	46.0	1	1	2.0	3	1.0	1	1	1
2	24.0	4	4	3757.0	1	2	4.0	0	0	4.0	2	62.0	1	0	1.0	1	1.0	0	1	1
2	24.0	4	6	999.0	4	2	4.0	3	2	2.0	1	25.0	1	1	2.0	1	1.0	1	1	1
0	15.0	2	3	975.0	1	0	2.0	1	2	3.0	0	25.0	1	1	2.0	1	1.0	1	1	1
2	12.0	4	9	2445.0	4	1	2.0	2	2	4.0	1	26.0	1	2	1.0	1	1.0	0	1	1
