Whether_of_not_the_TA_is_a_native_English_speaker	Course_instructor	Course	Summer_or_regular_semester	Class_size	class
1	23.0	3.0	1	19.0	3
2	15.0	3.0	1	17.0	3
1	23.0	3.0	2	49.0	3
1	5.0	2.0	2	33.0	3
2	7.0	11.0	2	55.0	3
2	23.0	3.0	1	20.0	3
2	9.0	5.0	2	19.0	3
2	10.0	3.0	2	27.0	3
1	22.0	3.0	1	58.0	3
2	15.0	3.0	1	20.0	3
2	10.0	22.0	2	9.0	3
2	13.0	1.0	2	30.0	3
2	18.0	21.0	2	29.0	3
2	6.0	17.0	2	39.0	3
2	6.0	17.0	2	42.0	2
2	6.0	17.0	2	43.0	2
2	7.0	11.0	2	10.0	2
2	22.0	3.0	2	46.0	2
2	13.0	3.0	1	10.0	2
2	7.0	25.0	2	42.0	2
2	25.0	7.0	2	27.0	2
2	25.0	7.0	2	23.0	2
2	2.0	9.0	2	31.0	2
2	1.0	15.0	1	22.0	2
2	15.0	13.0	2	37.0	2
2	7.0	11.0	2	13.0	2
2	8.0	3.0	2	24.0	2
2	14.0	15.0	2	38.0	2
2	21.0	2.0	2	42.0	1
2	22.0	3.0	2	28.0	1
2	11.0	1.0	2	51.0	1
2	18.0	5.0	2	19.0	1
2	13.0	1.0	2	31.0	1
1	13.0	3.0	1	13.0	1
2	5.0	2.0	2	37.0	1
2	16.0	8.0	2	36.0	1
2	4.0	16.0	2	21.0	1
2	5.0	2.0	2	48.0	1
2	14.0	15.0	2	38.0	1
1	23.0	3.0	1	19.0	3
2	15.0	3.0	1	17.0	3
1	23.0	3.0	2	49.0	3
1	5.0	2.0	2	33.0	3
2	7.0	11.0	2	55.0	3
2	23.0	3.0	1	20.0	3
2	9.0	5.0	2	19.0	3
2	10.0	3.0	2	27.0	3
1	22.0	3.0	2	58.0	3
2	15.0	3.0	1	20.0	3
2	10.0	22.0	2	9.0	3
2	13.0	1.0	2	30.0	3
2	18.0	21.0	2	29.0	3
2	6.0	17.0	2	39.0	3
2	6.0	17.0	2	42.0	2
2	6.0	17.0	2	43.0	2
2	7.0	11.0	2	10.0	2
2	22.0	3.0	2	46.0	2
2	13.0	3.0	1	10.0	2
2	7.0	25.0	2	42.0	2
2	25.0	7.0	2	27.0	2
2	25.0	7.0	2	23.0	2
2	2.0	9.0	2	31.0	2
2	1.0	15.0	1	22.0	2
2	15.0	13.0	2	37.0	2
2	7.0	11.0	2	13.0	2
2	8.0	3.0	2	24.0	2
2	14.0	15.0	2	38.0	2
2	21.0	2.0	2	42.0	1
2	22.0	3.0	2	28.0	1
2	11.0	1.0	2	51.0	1
2	18.0	5.0	2	19.0	1
2	13.0	1.0	2	31.0	1
1	13.0	3.0	1	13.0	1
2	5.0	2.0	2	37.0	1
2	16.0	8.0	2	36.0	1
2	4.0	16.0	2	21.0	1
2	5.0	2.0	2	48.0	1
2	14.0	15.0	2	38.0	1
1	23.0	3.0	1	25.0	3
1	13.0	3.0	1	17.0	3
2	16.0	19.0	2	11.0	3
2	9.0	2.0	2	39.0	3
2	13.0	3.0	1	11.0	3
2	18.0	21.0	2	19.0	3
1	22.0	3.0	2	45.0	3
2	7.0	11.0	1	20.0	3
2	23.0	3.0	1	20.0	3
1	23.0	3.0	1	20.0	3
1	23.0	3.0	2	38.0	3
2	14.0	22.0	2	17.0	3
1	17.0	17.0	2	19.0	3
2	9.0	5.0	2	24.0	3
2	18.0	25.0	2	25.0	3
1	17.0	17.0	2	31.0	3
2	1.0	15.0	2	31.0	3
2	1.0	8.0	2	18.0	2
1	11.0	16.0	2	22.0	2
1	22.0	13.0	2	27.0	2
2	9.0	2.0	2	14.0	2
2	13.0	1.0	2	20.0	2
1	6.0	17.0	2	35.0	2
2	23.0	3.0	1	20.0	2
1	23.0	3.0	1	20.0	2
2	6.0	17.0	2	37.0	2
1	22.0	3.0	2	15.0	2
2	20.0	2.0	2	25.0	2
2	23.0	3.0	2	10.0	2
2	20.0	2.0	2	14.0	1
1	23.0	3.0	2	38.0	1
2	13.0	1.0	2	29.0	1
2	10.0	3.0	2	19.0	1
2	7.0	11.0	2	30.0	1
1	14.0	15.0	2	32.0	1
2	8.0	3.0	2	27.0	1
2	12.0	7.0	2	34.0	1
2	8.0	7.0	2	23.0	1
2	15.0	1.0	2	66.0	1
2	23.0	3.0	2	12.0	1
2	2.0	9.0	2	29.0	1
2	15.0	1.0	2	19.0	1
2	20.0	2.0	2	3.0	1
2	13.0	14.0	2	17.0	3
2	9.0	6.0	2	7.0	3
1	10.0	3.0	2	21.0	3
2	14.0	15.0	2	36.0	3
1	13.0	1.0	2	54.0	3
1	8.0	3.0	2	29.0	3
2	20.0	2.0	2	45.0	3
2	22.0	1.0	2	11.0	2
2	18.0	12.0	2	16.0	2
2	20.0	15.0	2	18.0	2
1	17.0	18.0	2	44.0	2
2	14.0	23.0	2	17.0	2
2	24.0	26.0	2	21.0	2
2	9.0	24.0	2	20.0	2
2	12.0	8.0	2	24.0	2
2	9.0	6.0	2	5.0	2
2	22.0	1.0	2	42.0	2
2	7.0	11.0	2	30.0	1
2	10.0	3.0	2	19.0	1
2	23.0	3.0	2	11.0	1
2	17.0	18.0	2	29.0	1
2	16.0	20.0	2	15.0	1
2	3.0	2.0	2	37.0	1
2	19.0	4.0	2	10.0	1
2	23.0	3.0	2	24.0	1
2	3.0	2.0	2	26.0	1
2	10.0	3.0	2	12.0	1
1	18.0	7.0	2	48.0	1
2	22.0	1.0	2	51.0	1
2	2.0	10.0	2	27.0	1
