cpu_avg_user	cpu_avg_sys	cpu_avg_busy	cpu_avg_wait	cpu_avg_idle	cpu_avg_waste	cpu_max_user	cpu_max_sys	cpu_max_busy	cpu_max_wait	cpu_max_idle	cpu_max_waste	cpu_frac_busy	io_iget	io_bread	io_bwrite	io_lread	io_lwrite	io_phread	io_phwrite	io_wcancel	io_namei	io_dirblk	disk_avg_active	disk_max_active	disk_frac_active	disk_avg_read	disk_avg_write	disk_avg_total	disk_max_read	disk_max_write	disk_max_total	disk_frac_busy	net_avg_read	net_avg_write	net_avg_total	net_max_read	net_max_write	net_max_total	net_frac_busy	mem_swap	mem_fault	mem_tlbflush	syscall_total	class
0.0146	0.3415	0.3561	0.4229	0.127	0.55	0.02283	0.4057	0.423	0.5702	0.1755	0.7457	0.0	205000.0	867200.0	2577000.0	1517000.0	0.0	989100.0	819.2	77.5	0.0	0.1285	0.5525	0.1667	2.021	8.874	10.89	9.683	37.32	47.0	0.1667	95.38	29.15	124.5	689.7	197.4	710.4	0.08333	0.0	10.57	0.1333	1690.0	0.5167	0
0.04844	0.05006	0.0985	0.4782	0.37799999999999995	0.8561	0.268	0.08182	0.3237	0.5443	0.4284	0.9726	0.0	215700.0	355700.0	931800.0	867100.0	0.0	13110.0	750.9	57.03	0.0	0.07915	0.46	0.0	3.108	3.3369999999999997	6.446000000000001	19.33	19.98	39.32	0.0	17.67	3.4810000000000003	21.15	105.0	16.9	108.7	0.0	0.0	9.217	0.1333	456.9	0.1833	1
0.003812	0.05024	0.05405	0.6022	0.3247	0.9269	0.013330000000000002	0.1853	0.1986	0.6263	0.3664	0.9926	0.0	129700.0	513000.0	1124000.0	1297000.0	0.0	0.0	750.9	32.05	0.0	0.1091	0.6796	0.1667	3.2489999999999997	6.961	10.21	19.55	44.55	64.1	0.1667	14.27	2.3080000000000003	16.58	88.72	11.57	93.47	0.0	0.0	9.25	0.1333	298.9	0.1833	1
0.1532	0.3525	0.5056	0.1379	0.336	0.4738	0.2096	0.4063	0.5978	0.1782	0.415	0.5931	0.0	612000.0	397700.0	2342000.0	6872000.0	0.0	361000.0	168700.0	355.4	0.0	0.036160000000000005	0.0923	0.0	1.661	1.268	2.929	7.382999999999999	3.167	8.517000000000001	0.0	29.14	14.37	43.51	158.4	158.4	316.7	0.0	0.0	527.3	0.1333	2470.0	5.2829999999999995	1
0.003	0.01709	0.02009	0.01027	0.9655	0.9758	0.01067	0.04567	0.05633	0.01102	0.9814	0.9916	0.0	22410.0	18380.0	33570.0	264100.0	0.0	0.0	750.9	3.767	0.0	0.002167	0.026000000000000002	0.0	0.0375	0.1042	0.1417	0.45	1.25	1.7	0.0	9.857000000000001	3.407	13.26	42.33	16.23	58.57	0.0	0.0	9.232999999999999	0.1333	320.6	0.1833	1
0.005106	0.03935	0.04446	0.4543	0.48200000000000004	0.9363	0.009683	0.05552000000000001	0.0652	0.4767	0.5045	0.9749	0.0	160200.0	406600.0	567500.0	1058000.0	0.0	0.0	887.5	18.18	0.0	0.0735	0.4156	0.0	2.387	3.707	6.093999999999999	14.42	21.83	36.25	0.0	31.17	5.278	36.45	163.6	33.5	165.2	0.0	0.0	11.77	0.1333	483.3	0.2667	1
0.004981	0.043	0.04799	0.3326	0.5856	0.9182	0.01167	0.07882	0.09047999999999999	0.3592	0.6279	0.987	0.0	129300.0	334500.0	475800.0	828100.0	0.0	0.0	750.9	14.57	0.0	0.05892000000000001	0.3239	0.0	1.9240000000000002	3.0010000000000003	4.925	11.22	17.82	28.88	0.0	60.45	6.571000000000001	67.02	429.2	38.52	430.6	0.08333	0.0	9.7	0.1333	544.4	0.2167	1
0.00456	0.03094	0.0355	0.3601	0.594	0.9541	0.016980000000000002	0.0923	0.1093	0.3738	0.6154	0.9889	0.0	130800.0	374700.0	493400.0	941600.0	0.0	0.0	750.9	15.27	0.0	0.061720000000000004	0.3395	0.0	1.946	3.128	5.074	11.8	18.15	29.53	0.0	14.02	3.197	17.22	45.05	14.83	54.5	0.0	0.0	9.217	0.1333	342.4	0.1833	1
0.008681	0.06655	0.07522999999999999	0.622	0.2822	0.9041	0.020980000000000002	0.1276	0.1292	0.6633	0.3186	0.982	0.0	221800.0	666100.0	2023000.0	1358000.0	0.0	0.0	20870.0	56.8	0.0	0.1146	0.6708	0.1667	2.289	7.631	9.919	13.35	45.88	59.23	0.1667	16.06	3.178	19.23	93.28	12.68	97.28	0.0	0.0	23.65	0.1333	369.4	0.4833	1
0.1413	9.916	10.06	0.3785	0.0389	0.4174	0.1922	76.45	76.61	0.4584	0.05247	0.5089	0.125	1900000.0	521600.0	7998000.0	4973000.0	0.0	0.0	132800.0	554.2	0.0	0.1526	0.581	0.08333	5.8260000000000005	3.892	9.718	23.1	14.98	27.72	0.0	17.0	2.7260000000000004	19.73	93.23	10.35	95.47	0.0	0.0	433.8	0.1333	2482.0	4.65	0
