alg_name,algorithm,parameters
DecisionTreeClassifier,5b8599e33cca08f36c549e95,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_leaf': 5, 'min_samples_split': 5}"
DecisionTreeClassifier,5b8599e33cca08f36c549e95,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_leaf': 5, 'min_samples_split': 10}"
DecisionTreeClassifier,5b8599e33cca08f36c549e95,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_leaf': 5, 'min_samples_split': 20}"
DecisionTreeClassifier,5b8599e33cca08f36c549e95,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_leaf': 10, 'min_samples_split': 5}"
DecisionTreeClassifier,5b8599e33cca08f36c549e95,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_leaf': 10, 'min_samples_split': 10}"
DecisionTreeClassifier,5b8599e33cca08f36c549e95,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_leaf': 10, 'min_samples_split': 20}"
DecisionTreeClassifier,5b8599e33cca08f36c549e95,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_leaf': 20, 'min_samples_split': 5}"
DecisionTreeClassifier,5b8599e33cca08f36c549e95,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_leaf': 20, 'min_samples_split': 10}"
DecisionTreeClassifier,5b8599e33cca08f36c549e95,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_leaf': 20, 'min_samples_split': 20}"
DecisionTreeClassifier,5b8599e33cca08f36c549e95,"{'criterion': 'gini', 'max_depth': 4, 'min_samples_leaf': 5, 'min_samples_split': 5}"
DecisionTreeClassifier,5b8599e33cca08f36c549e95,"{'criterion': 'gini', 'max_depth': 4, 'min_samples_leaf': 5, 'min_samples_split': 10}"
DecisionTreeClassifier,5b8599e33cca08f36c549e95,"{'criterion': 'gini', 'max_depth': 4, 'min_samples_leaf': 5, 'min_samples_split': 20}"
DecisionTreeClassifier,5b8599e33cca08f36c549e95,"{'criterion': 'gini', 'max_depth': 4, 'min_samples_leaf': 10, 'min_samples_split': 5}"
DecisionTreeClassifier,5b8599e33cca08f36c549e95,"{'criterion': 'gini', 'max_depth': 4, 'min_samples_leaf': 10, 'min_samples_split': 10}"
DecisionTreeClassifier,5b8599e33cca08f36c549e95,"{'criterion': 'gini', 'max_depth': 4, 'min_samples_leaf': 10, 'min_samples_split': 20}"
DecisionTreeClassifier,5b8599e33cca08f36c549e95,"{'criterion': 'gini', 'max_depth': 4, 'min_samples_leaf': 20, 'min_samples_split': 5}"
DecisionTreeClassifier,5b8599e33cca08f36c549e95,"{'criterion': 'gini', 'max_depth': 4, 'min_samples_leaf': 20, 'min_samples_split': 10}"
DecisionTreeClassifier,5b8599e33cca08f36c549e95,"{'criterion': 'gini', 'max_depth': 4, 'min_samples_leaf': 20, 'min_samples_split': 20}"
DecisionTreeClassifier,5b8599e33cca08f36c549e95,"{'criterion': 'gini', 'max_depth': 6, 'min_samples_leaf': 5, 'min_samples_split': 5}"
DecisionTreeClassifier,5b8599e33cca08f36c549e95,"{'criterion': 'gini', 'max_depth': 6, 'min_samples_leaf': 5, 'min_samples_split': 10}"
DecisionTreeClassifier,5b8599e33cca08f36c549e95,"{'criterion': 'gini', 'max_depth': 6, 'min_samples_leaf': 5, 'min_samples_split': 20}"
DecisionTreeClassifier,5b8599e33cca08f36c549e95,"{'criterion': 'gini', 'max_depth': 6, 'min_samples_leaf': 10, 'min_samples_split': 5}"
DecisionTreeClassifier,5b8599e33cca08f36c549e95,"{'criterion': 'gini', 'max_depth': 6, 'min_samples_leaf': 10, 'min_samples_split': 10}"
DecisionTreeClassifier,5b8599e33cca08f36c549e95,"{'criterion': 'gini', 'max_depth': 6, 'min_samples_leaf': 10, 'min_samples_split': 20}"
DecisionTreeClassifier,5b8599e33cca08f36c549e95,"{'criterion': 'gini', 'max_depth': 6, 'min_samples_leaf': 20, 'min_samples_split': 5}"
