At1	At2	class
1.14	-0.114	-1.0
-1.52	-1.15	1.0
-1.05	0.72	-1.0
-0.9159999999999999	0.397	1.0
-1.09	0.43700000000000006	1.0
-0.584	0.0937	1.0
1.83	0.452	-1.0
-1.25	-0.28600000000000003	1.0
1.7	1.21	1.0
-0.48200000000000004	-0.485	1.0
1.79	-0.45899999999999996	-1.0
-0.122	-0.8079999999999999	-1.0
0.0809	1.93	1.0
-0.541	-0.332	1.0
-1.02	0.619	-1.0
-0.768	-1.04	-1.0
-1.69	-0.0461	1.0
1.26	1.21	1.0
0.7240000000000001	0.9890000000000001	-1.0
0.444	1.99	-1.0
-1.01	-1.36	-1.0
-0.863	0.496	1.0
1.16	-0.45799999999999996	1.0
-0.595	-0.6509999999999999	1.0
-0.77	0.364	1.0
-0.871	-0.825	1.0
0.996	-1.7	1.0
1.28	0.691	-1.0
0.925	0.895	-1.0
-0.687	-1.29	-1.0
1.74	0.9640000000000001	1.0
1.18	-0.335	1.0
2.52	1.43	1.0
1.71	-0.044000000000000004	-1.0
0.271	-0.591	1.0
1.12	0.626	-1.0
1.3	0.196	-1.0
-1.59	-0.68	1.0
0.408	0.0673	1.0
1.13	1.48	-1.0
0.763	0.9209999999999999	-1.0
-1.41	1.11	-1.0
-0.75	-0.8809999999999999	-1.0
1.16	0.978	-1.0
1.13	0.405	-1.0
-0.522	-1.34	-1.0
-1.41	0.894	-1.0
0.00902	-0.434	1.0
-2.14	-1.43	1.0
-1.31	1.25	-1.0
0.040999999999999995	-1.13	-1.0
0.0483	0.866	-1.0
-2.11	0.193	-1.0
0.522	1.46	-1.0
0.0284	1.62	-1.0
0.396	-0.606	1.0
0.536	0.9209999999999999	-1.0
0.315	-0.182	1.0
-0.12300000000000001	-1.07	-1.0
0.526	1.48	-1.0
0.00665	0.0118	1.0
-0.35200000000000004	-0.49	1.0
-0.0701	-1.23	-1.0
-0.149	-1.2	-1.0
0.785	0.0481	1.0
-1.62	0.593	-1.0
-0.0314	-1.01	-1.0
-0.285	-1.1	-1.0
1.33	1.51	1.0
1.09	-1.37	1.0
-0.223	-1.28	-1.0
-0.0341	-1.07	-1.0
1.22	1.13	-1.0
-1.67	-1.26	1.0
1.97	-0.772	-1.0
-0.508	-0.715	1.0
0.603	-0.10800000000000001	1.0
-0.32299999999999995	-0.213	1.0
-0.124	-1.12	-1.0
-0.439	-0.961	-1.0
0.201	0.0024	1.0
0.812	0.708	-1.0
0.888	0.8170000000000001	-1.0
0.0238	0.0836	1.0
0.415	-1.0	-1.0
-0.308	2.19	1.0
0.767	-0.248	1.0
1.23	-1.2	1.0
1.33	1.63	1.0
0.27	0.0491	1.0
-1.69	-1.87	1.0
0.495	-0.281	1.0
-0.519	-0.799	-1.0
-1.99	0.5489999999999999	-1.0
1.36	-0.732	1.0
