normalized-losses	make	fuel-type	aspiration	num-of-doors	body-style	drive-wheels	engine-location	wheel-base	length	width	height	curb-weight	engine-type	num-of-cylinders	engine-size	fuel-system	bore	stroke	compression-ratio	horsepower	peak-rpm	city-mpg	highway-mpg	price	class
26	11	1	0	2	2	1	0	93.7	157.3	64.4	50.8	2004.0	3	2	92.0	1	4	19	9.4	42	16	31.0	38.0	119	2
3	17	1	1	1	3	1	0	99.1	186.6	66.5	56.1	2847.0	0	2	121.0	5	25	10	9.0	23	16	19.0	26.0	70	2
17	19	1	0	2	0	2	0	98.4	176.2	65.6	53.0	2975.0	3	2	146.0	5	30	28	9.3	9	8	24.0	30.0	62	2
19	9	1	0	2	0	2	0	96.6	180.3	70.5	50.8	3685.0	5	0	234.0	5	22	12	8.3	21	7	16.0	18.0	92	3
51	20	1	0	2	0	1	0	94.5	159.3	64.2	55.6	2254.0	3	2	109.0	5	13	24	8.5	54	16	24.0	29.0	15	3
51	15	1	0	2	1	2	1	89.5	168.9	65.0	51.6	2756.0	4	3	194.0	5	33	8	9.5	31	20	17.0	25.0	89	3
2	12	1	0	1	4	1	0	94.5	170.2	63.8	53.5	2024.0	3	2	97.0	1	11	21	9.4	43	12	31.0	37.0	136	1
13	12	1	0	1	3	1	0	94.5	165.3	63.8	54.5	1938.0	3	2	97.0	1	11	21	9.4	43	12	31.0	37.0	124	1
51	9	1	0	2	1	2	0	112.0	199.2	72.0	55.4	3715.0	5	0	304.0	5	36	22	8.0	29	5	14.0	16.0	99	1
26	11	1	1	2	2	1	0	93.0	157.3	63.8	50.8	2145.0	3	2	98.0	6	7	23	7.6	2	16	24.0	30.0	142	1
3	8	1	0	2	2	1	0	93.1	159.1	64.2	54.1	1905.0	3	2	91.0	1	7	15	9.0	42	10	31.0	38.0	123	1
26	13	0	1	1	3	2	0	107.9	186.7	68.4	56.7	3197.0	2	2	152.0	3	32	29	21.0	57	0	28.0	33.0	28	0
39	5	1	0	1	4	1	0	96.5	157.1	63.9	58.3	2024.0	3	2	92.0	0	3	25	9.2	47	21	30.0	34.0	134	0
15	12	1	0	1	3	1	0	100.4	181.7	66.5	55.1	3095.0	5	3	181.0	5	21	20	9.0	19	12	17.0	22.0	32	0
42	5	1	0	1	3	1	0	96.5	175.4	62.5	54.1	2372.0	3	2	110.0	0	11	31	9.0	52	19	27.0	33.0	2	0
46	19	1	0	1	3	1	0	95.7	166.3	64.4	52.8	2140.0	3	2	98.0	1	13	9	9.0	44	8	28.0	34.0	171	0
26	13	1	0	1	3	2	0	107.9	186.7	68.4	56.7	3075.0	2	2	120.0	5	22	1	8.4	57	10	19.0	24.0	43	0
51	8	0	0	1	3	2	0	104.9	175.0	66.1	54.4	2700.0	3	2	134.0	3	21	32	22.0	45	1	31.0	39.0	67	0
37	21	1	1	1	4	2	0	104.3	188.8	67.2	57.5	3157.0	3	2	130.0	5	30	15	7.5	25	11	17.0	22.0	72	-1
37	14	1	0	1	4	1	0	103.3	174.6	64.6	59.8	2535.0	3	2	122.0	1	19	26	8.5	53	10	24.0	30.0	166	-1
48	20	1	0	1	3	1	0	97.3	171.7	65.5	55.7	2212.0	3	2	109.0	5	13	24	9.0	51	13	27.0	34.0	156	2
27	1	1	0	1	3	0	0	99.4	176.6	66.4	54.3	2824.0	3	1	136.0	5	13	24	8.0	8	16	18.0	22.0	61	2
13	20	1	0	2	3	1	0	97.3	171.7	65.5	55.7	2209.0	3	2	109.0	5	13	24	9.0	51	13	27.0	34.0	150	2
29	15	1	0	2	2	2	0	94.5	168.9	68.3	50.2	2778.0	3	2	151.0	5	37	13	9.5	17	16	19.0	27.0	78	3
51	15	1	0	2	1	2	1	89.5	168.9	65.0	51.6	2756.0	4	3	194.0	5	33	8	9.5	31	20	17.0	25.0	90	3
33	19	1	0	2	2	2	0	102.9	183.5	67.7	52.0	3016.0	0	3	171.0	5	15	22	9.3	24	12	19.0	24.0	48	3
51	6	1	0	2	3	1	0	94.5	155.9	63.6	52.0	1874.0	3	2	90.0	1	7	13	9.6	44	15	38.0	43.0	186	1
15	12	0	0	2	3	1	0	94.5	165.3	63.8	54.5	2017.0	3	2	103.0	3	5	27	21.9	36	8	45.0	50.0	130	1
21	4	1	0	1	3	1	0	93.7	157.3	63.8	50.6	1989.0	3	2	90.0	1	4	19	9.4	42	16	31.0	38.0	120	1
51	1	1	0	1	4	1	0	105.8	192.7	71.4	55.7	2954.0	3	1	136.0	5	13	24	8.5	4	16	19.0	25.0	71	1
24	14	1	0	1	3	1	0	93.7	167.3	63.8	50.8	1989.0	3	2	90.0	1	4	19	9.4	42	16	31.0	38.0	120	1
46	19	1	0	1	2	1	0	95.7	166.3	64.4	52.8	2109.0	3	2	98.0	1	13	9	9.0	44	8	30.0	37.0	133	0
26	13	1	0	1	3	2	0	107.9	186.7	68.4	56.7	3075.0	2	2	120.0	5	22	17	8.4	58	10	19.0	24.0	54	0
51	13	0	1	1	4	2	0	114.2	198.9	68.4	58.7	3485.0	2	2	152.0	3	32	29	21.0	57	0	25.0	25.0	59	0
26	13	0	1	1	3	2	0	107.9	186.7	68.4	56.7	3252.0	2	2	152.0	3	32	29	21.0	57	0	28.0	33.0	64	0
6	12	1	0	1	4	1	0	100.4	184.6	66.5	56.1	3296.0	5	3	181.0	5	21	20	9.0	19	12	17.0	22.0	37	0
51	20	1	0	1	4	1	0	100.4	183.1	66.9	55.1	2563.0	3	2	109.0	5	13	24	9.0	53	16	25.0	31.0	21	0
40	19	1	0	1	4	0	0	95.7	169.7	63.6	59.1	2290.0	3	2	92.0	1	8	9	9.0	40	8	27.0	32.0	148	0
45	19	1	0	1	3	2	0	104.5	187.8	66.5	54.1	3131.0	0	3	171.0	5	15	22	9.2	22	12	20.0	24.0	45	-1
51	19	1	0	1	4	2	0	104.5	187.8	66.5	54.1	3151.0	0	3	161.0	5	15	22	9.2	22	12	19.0	24.0	46	-1
13	20	0	0	2	3	1	0	97.3	171.7	65.5	55.7	2261.0	3	2	97.0	3	6	24	23.0	35	8	37.0	46.0	144	2
17	19	1	0	2	1	2	0	98.4	176.2	65.6	52.0	2679.0	3	2	146.0	5	30	28	9.3	9	8	24.0	30.0	10	2
17	19	1	0	2	2	2	0	98.4	176.2	65.6	52.0	2714.0	3	2	146.0	5	30	28	9.3	9	8	24.0	30.0	14	2
51	15	1	0	2	0	2	1	89.5	168.9	65.0	51.6	2800.0	4	3	194.0	5	33	8	9.5	31	20	17.0	25.0	96	3
22	8	1	0	2	2	2	0	95.3	169.0	65.7	49.6	2380.0	6	6	70.0	2	38	36	9.4	1	21	17.0	23.0	17	3
3	8	1	0	2	2	1	0	93.1	159.1	64.2	54.1	1890.0	3	2	91.0	1	7	15	9.0	42	10	30.0	31.0	102	1
51	0	1	0	2	2	2	0	94.5	171.2	65.5	52.4	2823.0	5	3	152.0	5	1	27	9.0	20	10	19.0	26.0	50	1
37	19	1	0	1	2	1	0	95.7	158.7	63.6	54.5	2015.0	3	2	92.0	1	8	9	9.0	40	8	31.0	38.0	115	1
0	5	1	0	2	2	1	0	93.7	150.0	64.0	52.6	1837.0	3	2	79.0	0	2	10	10.1	39	16	38.0	42.0	105	1
