row_idx	col_idx	log2ratio
1	1	0
2	1	0
3	1	0
4	1	0
5	1	0
6	1	0
7	1	0
8	1	0
9	1	0
10	1	0
11	1	0
12	1	1
13	1	0
14	1	0
15	1	0
16	1	0
17	1	0
18	1	0
19	1	0
20	1	0
21	1	0
22	1	0
23	1	0
24	1	0
25	1	0
26	1	0
27	1	0
28	1	1
29	1	0
30	1	0
31	1	0
32	1	0
33	1	0
34	1	0
35	1	0
36	1	-1
37	1	0
38	1	0
39	1	0
40	1	0
41	1	0
42	1	0
43	1	0
44	1	0
45	1	0
46	1	0
47	1	0
48	1	0
49	1	0
50	1	0
1	2	0
2	2	0
3	2	0
4	2	0
5	2	0
6	2	-1
7	2	0
8	2	0
9	2	0
10	2	1
11	2	0
12	2	0
13	2	0
14	2	0
15	2	0
16	2	0
17	2	-1
18	2	0
19	2	0
20	2	0
21	2	0
22	2	1
23	2	0
24	2	-1
25	2	0
26	2	0
27	2	0
28	2	0
29	2	0
30	2	0
31	2	0
32	2	0
33	2	-1
34	2	0
35	2	0
36	2	1
37	2	0
38	2	0
39	2	0
40	2	0
41	2	0
42	2	0
43	2	0
44	2	-1
45	2	0
46	2	0
47	2	0
48	2	0
49	2	0
50	2	0
1	3	0
2	3	0
3	3	-1
4	3	0
5	3	0
6	3	0
7	3	0
8	3	0
9	3	0
10	3	-1
11	3	0
12	3	-1
13	3	0
14	3	0
15	3	2
16	3	0
17	3	1
18	3	0
19	3	0
20	3	0
21	3	-1
22	3	0
23	3	0
24	3	0
25	3	0
26	3	0
27	3	-1
28	3	0
29	3	0
30	3	0
31	3	0
32	3	0
33	3	0
34	3	-1
35	3	0
36	3	-1
37	3	0
38	3	1
39	3	0
40	3	-1
41	3	0
42	3	0
43	3	-1
44	3	0
45	3	-1
46	3	0
47	3	-1
48	3	0
49	3	0
50	3	-1
1	4	-2
2	4	-3
3	4	1
4	4	1
5	4	-1
6	4	2
7	4	0
8	4	0
9	4	0
10	4	-2
11	4	0
12	4	1
13	4	3
14	4	0
15	4	1
16	4	0
17	4	-1
18	4	1
19	4	2
20	4	0
21	4	-1
22	4	0
23	4	1
24	4	2
25	4	0
26	4	0
27	4	1
28	4	0
29	4	0
30	4	0
31	4	2
32	4	1
33	4	0
34	4	1
35	4	0
36	4	0
37	4	-1
38	4	0
39	4	0
40	4	-1
41	4	1
42	4	-2
43	4	1
44	4	0
45	4	0
46	4	0
